feature,importance
monthlycharges,0.0867598524607975
totalcharges,0.08477017991521464
annual_income,0.08254439827656465
credit_score,0.08137490511984724
days_since_last_interaction,0.07613915632120215
avg_monthly_gb,0.07353186419073378
age,0.07120937689871912
tenure,0.06001092701061315
customer_satisfaction,0.03855393049770266
num_service_calls,0.031076157473553075
dependents,0.026113525303038253
num_services,0.025705334027880958
num_complaints,0.017123516666758758
gender_Male,0.013394279584669188
late_payments,0.013273693611123507
has_streaming_movies,0.013217768148664526
has_streaming_tv,0.01311786788445439
contract_two_year,0.012836213625507015
marital_status_married,0.012028594795752199
has_online_backup,0.01192268956371389
payment_method_credit_card,0.011738365699846572
paperless_billing,0.011559507598395868
marital_status_single,0.011407229351906528
has_phone_service,0.011296070506235338
has_device_protection,0.011148212517783244
education_college,0.010983719277117792
education_high_school,0.010940690333815497
payment_method_electronic_check,0.010695903714229647
senior_citizen,0.010672949608503488
payment_method_mailed_check,0.008874659634567121
education_master,0.00887242612300774
contract_one_year,0.007956765221217375
has_tech_support,0.006160265332906063
education_phd,0.005422790565717388
has_online_security,0.005369717373859197
marital_status_widowed,0.005140740935234292
has_internet_service,0.003779751190426507
gender_Other,0.0032760036387197177
